round_epochs,loss,accuracy,val_loss,val_accuracy,dropout1,dropout2,dense,activation,lstm
5,0.12959283590316772,0.9521161317825317,0.23474639654159546,0.9161003232002258,0.1,0.1,10,relu,10
5,0.094452865421772,0.9669226408004761,0.2579597532749176,0.9192153215408325,0.1,0.1,10,relu,50
